,tickets,OPD,id,tickets_length,clean_tickets
10,Siang Pemkot Malang..saya mau sambat.. Saya sudah 1 bln ini ga bisa daftar gojek dikarenakan NIK yg saya daftarkan selalu di anggap salah..padahal sudah saya cek ya betul..apa bisa di bantu cek NIK saya ini.. 3573045203800007 Dan saya ini laki laki tulen..kog di NIK di tambahi 40 pada kode lahir saya.. Sekian sambat saya mohon segera di tidak lanjuti..matur nuwun,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,365,siang perintah kota malangsaya sambat daftar gojek nik daftar anggap salahpadahal cek ya betulapa bantu cek nik laki laki tulenkog nik kode lahir sekian sambat mohon lanjutimatur nuwun
11,"saya Yehozhua, mau tanya kapan ktp saya dengan NIK 3507282706910001 selesai?  Masyarakat Batu aja selesai, Malang Kabupaten kapan? Mau merantau ribet KTP",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,153,yehozhua ktp nik selesai masyarakat batu selesai malang kabupaten rantau ribet ktp
12,"udah 1 tahun saya bikin E-Ktp ,sampe sekarang belum jadi"" kenapa ya? Katanya dsuruh cepet""ngurus girilan udah ngurus malah engga keluar ektp nya",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,144,bikin ektp ya dsuruh cepetngurus girilan ngurus ektp nya
13,"Saya kecewa dengan pelayanan para pengurus di kantor terpadu kota malang. Pasalnya saya dan orang tua saya hanya di berikan janji waktu. Saya harus mengganti nama dan nama orang tua saya di akte saya yang salah . Kemudian oleh pihak dispenduk di berikan kurun waktu 3 bulan untuk pencarian data. Setelag 3 bulan saya ke dispenduk ternyata saya di minta untuk menunggu lagi selama satu minggu . Lalu sebenarnya apa yang mereka kerjakan . ? Apa kurang waktu yang di butuhkan selama 3 bulan ? Apa terlalu rumit mememukan ya . ? Apa seperti ini pelayanan masyarakat kota malangdmin ditmpt tsb. Namun sy tdk mendpt pelayanan yg baik, informasi yg jelas bhkan mndpt kata2 yg kasar dr Ibu tsb. Bukankah VISI pemerintah Kota Mlg menjadikan Kota Mlg sbg Kota BERMARTABAT? Mhn bs mnjd koreksi&perbaikan shg MISI peningkatan kualitas pelayanan publik yg profesional & berorientasi pada kepuasan masy. dpt terwujud. Terimakasih.",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,916,kecewa layan urus kantor padu kota malang pasal orang tua ikan janji ganti nama nama orang tua akte salah dispenduk ikan kurun cari data setelag dispenduk nyata tunggu minggu kerja butuh rumit mu ya layan masyarakat kota malangdmin mendpt layan informasi bhkan mndpt kasar visi perintah kota mlg kota mlg kota martabat mohon koreksiperbaikan misi tingkat kualitas layan publik profesional orientasi puas masy wujud terimakasih
14,Tolong dong dibenahi lagi dispenduk untuk kinerja e-ktp. Sudah setahun e-ktp belum jadi2. Sudah ke kelurahan dan ke dispenduk katanya blanko untuk e-ktp saya sudah tersedia tetapi karena masalah sistem dari pusat belum bisa di cetak. Dan dispenduk juga tidak memberi solusi. Tolong dong pasti ada solusi setiap masalah. Kalau masalah dari sistem dan tidak ada laporan dari dispenduk ke pusat ya kapan pusat akan mengurus? Tolong segera diteruskan kepada dispenduk kota malang. Udah setahun ktp ga jadi2. Taun depan mau daftar sekolah ikatan dinas masa belum ada juga e-ktpnya. Terimakasih,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,588,tolong benah dispenduk kerja ektp ektp lurah dispenduk blanko ektp sedia sistem pusat cetak dispenduk solusi tolong solusi sistem lapor dispenduk pusat ya pusat urus tolong dispenduk kota malang ktp daftar sekolah ikat dinas ektpnya terimakasih
15,"YTH Bapak Walikota Malang saya melapor bawah petugas Dispenduk yang bertugas di Kelurahan Arjosari kalau memberikan informasi tentang pelayanan sipil selalu tidak lengkap sehingga membuat saya dan warga yang lain seperti bola pingpong di lempar sana sini untuk memenuhi persyaratan.. seharusnya sebagai petugas yang baik harus memberikan informasi yang jelas dan benar sehingga warga tidak harus bolak balik ke RT,RW,Fotocopy dan kelurahan. Saya mengurus KK&KTP baru sudah bolak balik kesana smpai lebih dari 6x, persyaratan sebelumnya sudah lengkap masih saja di tambahin persyaratan lain dengan alasan ada SP baru dari Dispenduk. Kami warga butuh di perlancar untuk pelayanan sipil bukan di persulit seperti ini.",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,714,hormat walikota malang lapor tugas dispenduk tugas lurah arjosari informasi layan sipil lengkap warga bola pingpong lempar penuh syarat tugas informasi warga bolak rtrwfotocopy lurah urus kkktp bolak kesana x syarat lengkap tambahin syarat alas sp dispenduk warga butuh lancar layan sipil sulit
16,"Sy sdh menunggu Kantor Catatan sipil mencari duplikat akte sy slama 2 Minggu lebih. Sy sdh ksna lg utk menanyakan hasilx tp sampe skrg blum jg di temukan. Tdk tau knp tp sy jd berfikir negatif, mungkin mereka mau agar sy menyuap dlu entah apa agar mereka mau mempercepat penemuannya. Sy mohon tolonglah agar sy bs mendapatkan akte baru secepatnya krn kasihan ketiga anak2 sy msh kecil terombang-ambing di Spanyol bersama bpkx sj krn menunggu akte sy olonglah agar sy dibantu utk menghadapi kantor catatan sipil yg terkesan lambat itu. Trm ksh.dikirimkan utk proses pembuatan dokumen agar mereka bisa masuk ke Inggris yaitu negara Bpk nya. Dan keadaan finansial bpkx jg sdh sangat menipis. Mohon t",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,696,tunggu kantor catat sipil cari duplikat akte minggu kesana hasilx temu tau berfikir negatif suap cepat temu mohon tolong akte cepat kasihan anak terombangambing spanyol bpkx tunggu akte olonglah bantu hadap kantor catat sipil kes lambat terima kshdikirimkan proses dokumen masuk inggris negara nya finansial bpkx tip mohon t
17,"Tgl 22 Mei sy dtg ke Kantor Catatan Sipil utk mengurus kembali akte kelahiran sy yg hilang. Petugas dsna memberitahu sy klo duplikat akte sy akan dicarikan dulu. Dan setelah duplikatnya ketemu sy akan di hub dan harus dtg lg ke kantor utk melengkapi persyaratan membuat akte. Tp ini sdh hampir 2 minggu sy tdk mendapatkan kbr dr sna. Pertanyaan sy, knp selama itu mencari duplikat akte? Brp lama lagikah sy hrs menunggu proses akte sy jadi? Tidakkah penyimpanan duplikat dikelompokkan menurut nomor serinya sehingga mudah pencariannya dan butuh waktu berminggu2 utk mencari? Shrsx kantor ini memperkerjakan staff khusus utk pencarian duplikat sehingga kami tdk dibuatnya menunggu. Dan cara department ini dlm melayani masyarakat tidak praktis, cenderung merepotkan krn kami hrs bolak balik ksna smentara domisili sy di Tunggulwulung. Sharusx mereka mau menerima smua dokumen persyaratan pembuatan akte yg sdh sy bawa jd swaktu mereka menemukan duplikatnya mereka bs langsung mencetaknya jd kami tidak perlu bolak balik ksna. Jujur saja, cara kerja mereka yg spbutuhan sy akan akte kelahiran itu sdh sangat mendesak skali. Trm kshrti itu bs membuat org yg tdk sabar akhirx menyuap mereka agar kepentinganx cepat selesai. Mohon dgn sangat agar ditertibkan pegawai Catatan sipil itu. K",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,1282,tanggal mei kantor catat sipil urus akte lahir hilang tugas memberitahu duplikat akte cari duplikat ketemu hubung kantor lengkap syarat akte minggu kabar cari duplikat akte tunggu proses akte simpan duplikat kelompok nomor seri mudah cari butuh minggu cari shrsx kantor kerja staff khusus cari duplikat tunggu department layan masyarakat praktis cenderung repot bolak kesana smentara domisili tunggulwulung sharusx terima dokumen syarat akte bawa swaktu temu duplikat langsung cetak bolak kesana jujur kerja spbutuhan akte lahir desak terima kshrti orang sabar akhirx suap kepentinganx cepat selesai mohon tertib pegawai catat sipil k
18,kalau mengurus akte kematian & yang harus tanda tangan SEKDA butuh waktu berapa lama karena saya mengurus akte kematian Dr tgl 12 Mei sampai 29 Mei ini belum jadi juga?,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,168,urus akte mati tanda tangan sekda butuh urus akte mati tanggal mei mei
19,"Berkenaan dgn penerbitan E-KTP, sdh 3thn lebih ini kok blm ada edaran utk mengambil E-KTP tsb, tanya ke RT setempat katanya blm jd, bwt E-KTP proses brp tahun? Mohon diklarifikasi utk kec. Kedung Kandang. Terima kasihs. Mohon ditindak.i, masak, buang air dsb. Terima kasih :)ada trampoline arenakasi yang parah antara pertigaan dan sampai roti andalas tidak terjadi di tempat2 lain lagi. Trimssuwon sanget",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,405,kena terbit ektp edar ambil ektp rt ektp proses mohon klarifikasi kec kedung kandang terima kasihs mohon tindak masak buang air terima kasih trampoline arenakasi parah roti andalas trimssuwon
20,"Selamat pagi, mohon maaf saya merasa tidak nyaman dengan pelayanan dispenduk kota malang, karena beberapa bulan lalu sya mengurus AKTE KELAHIRAN anak saya yg hilang tapi sampai sekarang belum kunjung selesai...jika saya telpon pihak dispenduk nya menyampaikan ""masih dalam pencarian"" ini sudah jalan 1 bulan stgh tp masih dalam pencarian sedangkan anak saya sudah mau daftar sekolah... Mohon pihak yang bertugas di dispenduk agar ditindak lanjuti supaya masyarakat spt sya tdk mnunggu lama dan kecewa. Terimakasih.",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,514,selamat pagi mohon maaf nyaman layan dispenduk kota malang urus akte lahir anak hilang kunjung selesaijika telepon dispenduk nya cari jalan cari anak daftar sekolah mohon tugas dispenduk tindak masyarakat mnunggu kecewa terimakasih
21,Kapan eKTP saya selesai ?? Kok lama sekali ??,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,45,ektp selesai
22,"Pelayanan e-KTP nya lama sekali, ketika ditanya malah menyalahkan bahannya belum ada, jadi kami harus menanyakan ke siapa lagi ??",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,129,layan ektp nya salah bahan
23,"Pelayanan pembuatan e-KTP lama sekali, bahkan dinas catatan sipil tidak bisa memberikan waktu kapan akan selesainya, dan kami tidak diberikan SURAT KETERANGAN PENGGANTI KTP SEMENTARA, karena kami kesulitan bekerja jika asa kebutuhan yang sangat memerlukan KTP, mohon agar bisa dipercepat, di tempat lain itu sangat cepat sekali buat e-KTP",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,338,layan ektp dinas catat sipil selesai surat terang ganti ktp sulit kerja asa butuh ktp mohon cepat cepat ektp
24,"Bagaimanakah alur/cara pengurusan surat pindah domisili (pindah ke kota lain),? Karena e-KTP telah berlaku secara Nasional,, apakah kita masih perlu mengurus surat keterangan dari RT/RW kota asal,? Terimakasih",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,209,alurcara urus surat pindah domisili pindah kota ektp laku nasional urus surat terang rtrw kota terimakasih
25,Pencarian berkas akte kelahiran di loket 26 kenapa lama sekali ya..dan harus janjian dulu dg ibu Tatik..ketemu dg beliau lgsg di kantor tidak bisa katanya harus melalui telpon..kalo ditelpon sulit sekali ketemu..apa tidak ada orang lain yang bisa menggantikan tugasnya kalo beliaunya sibuk..saya telpon 2 minggu dan bolak balik ke loket hanya untuk mencari ibu Tatik tidak pernah ketemu..padahal akte ini mau dipake pendaftaran sekolah..trus gmn nasib anak saya..mohon solusinya dan diprioritaskan.tq,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,500,cari berkas akte lahir loket yad janji tatikketemu beliau langsung kantor telponkalo telpon sulit ketemuapa orang ganti tugas beliau sibuksaya telepon minggu bolak loket cari tatik ketemupadahal akte pakai daftar sekolahtrus nasib anak sayamohon solusi diprioritaskantq
26,Saya mau minta informasi karena saya dan istri mau membuat surat nikah tapi bermasalah nama orang tua tidak sesuai dengan akta lahir saya. Nah itu untuk proses perubahan nama orang tua melewati jalur apa saja. Karena saya urus kan pada orang tidak beres dan dikenakan biaya lebih lebih. Saya butuh surat nikah untuk pembuatan KK. Terima kasih sebagai contoh. Nama Saya : Jusuf Setiawan Nama Ayah : Suwito Nama Ibu : Martha Wahyuningsih sesuai akta Namu di KK dan KTP Lie Martha Wahyuningsih.,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,491,informasi istri surat nikah nama orang tua sesuai akta lahir proses ubah nama orang tua jalur urus orang beres kena biaya butuh surat nikah kk terima kasih contoh nama jusuf setiawan nama ayah suwito nama martha wahyuningsih sesuai akta namu kk ktp lie martha wahyuningsih
27,menanyakan kapan kepastian bahan untuk pembuatan KTP ada ya ??? Karena KTP sementara bentuknya kertas besar yg membuat tidak nyaman disimpan . Trimakasi,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,152,bahan ktp ya ktp bentuk kertas nyaman simpan trimakasi
28,"mau sambat, terkait pengurusan Akta Kematian atas nama almarhumah ibu saya Maisyaroh alamat Jl. Simpang Kampar No. 4 Kota Malang Dalam persyaratan pengurusan Akta Kematian tidak dipersyaratkan surat nikah, tetapi setelah beberapa hari mengurus, berkas orang tua saya mangkrak tidak diproses karena ada ketidak sesuaian antara nama Ayah di Surat Nikah dan di Kartu Keluarga dan diminta untuk mengurus ke pengadilan agama Kenapa yg di urus Akta kematian atas nama ibu saya tetapi yang dipermasalahkan ketidak sesuaian nama bapak saya",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,531,sambat kait urus akta mati nama almarhumah maisyaroh alamat jalan simpang kampar nomor kota malang syarat urus akta mati syarat surat nikah urus berkas orang tua mangkrak proses sesuai nama ayah surat nikah kartu keluarga urus adil agama urus akta mati nama sesuai nama
29,"slamat siang bpk/ibu, prtama2 sy ingin brtanya itu dinas yg bersihin got antara yayasan bakti luhur dn restoran padang sederhana (pr4 plaza dieng) pada 24-10-2018 sekitar jm 9-10 apakah dri dinas kebersihan dan pertamanan kota malang? klo iy mhon dgn hormat anggotany dikasih tau ada bgsnya memberi tanda Kejadiannya bgni, sy antara jm 9 - 10 pgi (24-10-2018) lewat disekitar situ mnggunakn motor dgn ibu sy, tanpa ad rambu atau peringatan ad anggota yg mengangkat sampah dri got tersebut kmdian menyiprati baju dan helm kmi. Dikarnakan ibu sy ad urusan penting kmi tetep melanjutkan perjalanan. Selang b akhirnya ad anggota (katanya koordinator) yg mengajak sy berbicara brdua saja, yg kemudian menjelaskan klo mereka terburu2 dan meminta maaf. Prtanyaan brpa menit stlhnya sy brinisiatif kmbli ktmpat itu sndiri guna menyarankan pemberian rambu atau peringatan klo disitu ad pembersihan got, namun mereka justru bertanya ""siapa yg menyiprat"", ""trus maunya apa"" bahkan ad orng (ntah anggota atau bukan) yg mengintimidasi dgn bhsa tubuh ingin memukul sy. Untungsy apa benar pengerjaan trsebut dilakukan antara jm 9-10an? Apakah dalam SOP mereka tdk perlu ad rambu2 yg menjelaskan disitu lg ad kerjaan? Terimakasih",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,1213,selamat siang bpkibu prtama brtanya dinas bersihin got yayasan bakti luhur restoran padang sederhana pr plaza dieng jm dinas bersih taman kota malang iya mohon hormat anggotany kasih tau bgsnya tanda bgni jm pagi situ mnggunakn motor rambu anggota angkat sampah got kmdian menyiprati baju helm dikarnakan urus jalan selang bb anggota koordinator ajak bicara brdua buru maaf prtanyaan menit stlhnya brinisiatif ktmpat saran rambu situ bersih got menyiprat orang ntah anggota intimidasi bhsa tubuh untungsy kerja trsebut laku jm an sop rambu situ kerja terimakasih
30,"mohon perbaikan saluran air kotor jl Cerme Muria, sudah dilaporkan ke dinas PU kota 1 thn ini",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,93,mohon salur air kotor jalan cerme muria lapor dinas pu kota
31,jalan di depan gerbang depan UIN dan di belakang gerbang uin sering macet.. saran saya ada pelebaran jalan,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,106,jalan gerbang uin gerbang uin macet saran lebar jalan
32,"PROYEK DRAINASE JL. SIMPANG GAJAYANA depan ruko, tidak diperbaiki dengan baik seperti kondisi semula. Rawan mobil terperosok pada bekas galian.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,143,proyek drainase jalan simpang gajayana ruko kondisi rawan mobil perosok bekas gali
33,jalan Gg dr soetomokemantren 3 rusak parahbanyak jalan berlubang dan berbatu batu mohon agar diperbaiki | SMS Gratis smsae.in,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,125,jalan soetomokemantren rusak parahbanyak jalan lubang batu batu mohon sms gratis smsaein
34,"mohon segera diperbaiki, beberapa lampu warna warni padam yang menempel di rangka jembatan Soekarno Hatta malang, terima kasih.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,127,mohon lampu warna warni padam tempel rangka jembatan soekarno hatta malang terima kasih
35,"Assalamualaikum, saya ingin memberikan informasi tentang infrastruktur jalan yang rusak parah di Dekat Jl. Mandalika 3-5, Bareng, Klojen, Kota Malang, Jawa Timur 65116 ( Dekat SMAK Santa maria). Mohon dinas terkait segera memperbaiki jalan dan SISTEM DRAINASE nya. Terima kasih",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,277,assalamualaikum informasi infrastruktur jalan rusak parah jalan mandalika bareng klojen kota malang jawa timur smak santa maria mohon dinas kait jalan sistem drainase nya terima kasih
36,"mbat Malang, tolong dong diperbaiki jalan di dekat Taman Merjosari, ada lubang besar sudah berbulan-bulan kok belum ada perbaikan, apa masih menunggu korban? Terima kasih.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,171,mbat malang tolong jalan taman merjosari lubang berbulanbulan tunggu korban terima kasih
37,"Yth. DPUPR Kota Malang. Mohon untuk secepatnya memperbaiki Jalan Sigura-gura III yang agak belakang karena kondisi jalan rusak, belum diaspal, dan mengganggu warga sekitar untuk kenyamanan dlm mobilisasi. Terima kasih.tan IUMK yg dimana jumlah modal usaha yg saya cantumkan lebih dri 50jt itu tidak bisa di proses. Terimakasih sebelumnya",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,337,hormat dpupr kota malang mohon cepat jalan siguragura iii kondisi jalan rusak aspal ganggu warga nyaman mobilisasi terima kasihtan iumk modal usaha cantum jt proses terimakasih
38,"JL. RETAWU DEKAT BANGI KOPITIAN ADA ASPAL YG LUBANG CUKUP DALAM, MEMBAHAYAKAN KENDARAAN. SUDAH DI GBR TAPI TETAP SAJA BLM DITAMBAL.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,131,jalan retawu bang kopitian aspal lubang bahaya kendara gbr tambal
39,PROYEK DRAINASE JL. SIMPANG GAJAYANA SUDAH SELESAI COR KAPAN DIPERBAIKI SEPERTI KONDISI SEMULA?,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,95,proyek drainase jalan simpang gajayana selesai cor kondisi
40,"harap segera diperbaiki jalan berlubang di jalan andalas tengah yang semakin hari semakin dalam, kalau malam membahayakan kendaraan beroda dua, lokasi yang parah antara pertigaan dan sampai roti andalas tidak terjadi di tempat2 lain lagi. Trimssuwon sanget",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,256,harap jalan lubang jalan andalas malam bahaya kendara roda lokasi parah roti andalas trimssuwon
41,"JALAN RUSAK DI DEKAT BANTALAN REL KA JL. CILIWUNG, MOHON DIBANTU KE DINAS TERKAIT, MEMBAHAYAKAN PENGGUNA KENDARAAN BERMOTOR KARENA MAKIN DALAM KERUSAKANNYAada petugas lapangan yang bertugas, namun tidak ditanggapi. Alamat jl.raya tlogomas no.1 rt 1 rw7, tlogomas-lowokwaru. Terimakasih.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,286,jalan rusak bantal rel ka jalan ciliwung mohon bantu dinas kait bahaya kendara motor kerusakannyaada tugas lapang tugas tanggap alamat jlraya tlogomas nomor rt rw tlogomaslowokwaru terimakasih
42,GORONG-GORONG DAN PEDESTRIAN SEPANJANG JL.BURING KEL.ORO-ORO DOWO PERLU DIPERBAIKI. TKS,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,87,goronggorong pedestrian jlburing kelorooro dowo terimakasih
43,untuk DPUPR jalan di sigura2 3 belakang rusak dan menganggu kenyamanan mohon ditindaklanjuti terima kasih,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,105,dpupr jalan sigura rusak menganggu nyaman mohon ditindaklanjuti terima kasih
44,"Yth. DPUPR Kota Malang. Mohon untuk secepatnya memperbaiki Jalan Sigura-gura III yang agak belakang karena kondisi jalan rusak, belum diaspal, dan mengganggu warga sekitar untuk kenyamanan dlm mobilisasi. Terima kasih.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KOTA MALANG,1,218,hormat dpupr kota malang mohon cepat jalan siguragura iii kondisi jalan rusak aspal ganggu warga nyaman mobilisasi terima kasih
